"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GENE_0098",266.650040173429,2.30318269574695,0.155535476199928,14.8080859236667,1.29886516478647e-49,1.29886516478647e-46
"GENE_0818",165.824908900066,-2.31316165662633,0.178219351236902,-12.9792956857502,1.60348285374241e-38,8.01741426871207e-36
"GENE_0234",867.678568644365,-2.05158218944592,0.163854272789901,-12.5207732121611,5.74725204875929e-36,1.91575068291976e-33
"GENE_0851",175.287124059032,2.22695096709697,0.178896733824876,12.4482483245164,1.42948098428187e-35,3.57370246070468e-33
"GENE_0107",102.564100851855,-2.2833230284345,0.187750395498403,-12.1614818566596,4.98461914143363e-34,9.96923828286726e-32
"GENE_0199",755.655121238082,-1.65931038982305,0.1421627794753,-11.6719045304776,1.77406572414158e-31,2.95677620690263e-29
"GENE_0336",748.053319163717,-1.7597390342551,0.152223106279718,-11.5602622838447,6.55083948355322e-31,9.35834211936174e-29
"GENE_0638",974.571664100095,-1.75118806396105,0.155456705828003,-11.2647959097922,1.9580507985342e-29,2.44756349816775e-27
"GENE_0097",219.791069257954,2.05298980816729,0.192660888855623,10.6559760019885,1.63520336996245e-26,1.81689263329161e-24
"GENE_0496",155.987524971877,1.84239505425345,0.177213204888036,10.3964885428119,2.57238597579107e-25,2.57238597579107e-23
"GENE_0680",185.926078982601,-1.6847091405118,0.163241361394723,-10.3203570842448,5.7010731396556e-25,5.18279376332327e-23
"GENE_0659",97.8322749481468,-2.09126512172141,0.206530720987248,-10.1256854753852,4.24990322251071e-24,3.54158601875892e-22
"GENE_0366",214.802073900531,-2.07529293461099,0.207566460838698,-9.99820937460472,1.55177507145822e-23,1.19367313189093e-21
"GENE_0457",100.476525130119,-1.91383003462286,0.199574177087171,-9.58956746085907,8.8455051709315e-22,6.31821797923679e-20
"GENE_0177",369.615432700643,-1.86610601941096,0.204646613550134,-9.11867529610404,7.60481625039923e-20,5.06987750026615e-18
"GENE_0786",78.8157986625334,-1.57921948914448,0.188884199312133,-8.36078134060753,6.23042293008553e-17,3.89401433130346e-15
"GENE_0075",211.418886032342,-1.64474481279482,0.212785998079943,-7.72957256415387,1.07908286018255e-14,6.34754623636796e-13
"GENE_0162",242.100566884177,-1.27562966783312,0.168440804802129,-7.57316298346846,3.64244848413607e-14,2.02358249118671e-12
"GENE_0792",26.0533218732244,2.25007907499118,0.297550750793968,7.56200099978641,3.96915332087569e-14,2.08902806361878e-12
"GENE_0239",130.595052203507,-1.42857111603656,0.190399831242739,-7.50300620915617,6.2370596734096e-14,3.1185298367048e-12
"GENE_0321",519.249005498966,-1.23456771434409,0.169003728300403,-7.30497324975961,2.77321909329184e-13,1.32058052061516e-11
"GENE_0058",280.064357829152,-1.62161661548367,0.223306515309161,-7.26184192717614,3.81854297376194e-13,1.73570135170997e-11
"GENE_0760",163.402918583492,1.36512781884344,0.193886355453223,7.04086584975181,1.91048878547081e-12,8.30647298030786e-11
"GENE_0227",72.4194337049963,1.54139421637435,0.220029940756873,7.00538395398447,2.46309416837826e-12,1.02628923682428e-10
"GENE_0409",62.8311261940825,1.45575392838863,0.210101668902512,6.928807067516,4.24404127965682e-12,1.67723777367633e-10
"GENE_0780",484.398255274116,-1.3670835027935,0.197413764038138,-6.92496548786433,4.36081821155847e-12,1.67723777367633e-10
"GENE_0087",722.694769351712,-1.24998143014354,0.185990191723024,-6.7206846692486,1.80872638936431e-11,6.69898662727522e-10
"GENE_0408",120.387143421434,-1.26969753885309,0.194344377818681,-6.53323524510541,6.4363924498752e-11,2.29871158924114e-09
"GENE_0504",108.40724598064,-1.34419832002863,0.207265051110281,-6.48540751481258,8.84922696683881e-11,3.051457574772e-09
"GENE_0140",101.472571934091,-1.25192109630568,0.19486807605504,-6.42445454201578,1.32343201269159e-10,4.4114400423053e-09
"GENE_0611",67.6292577216851,-1.46106759676304,0.23109816344618,-6.3222812980221,2.57729650289098e-10,8.3138596867451e-09
"GENE_0869",49.2356851288937,1.44197461514416,0.231271613359146,6.23498316200565,4.51826688426794e-10,1.41195840133373e-08
"GENE_0791",201.20357223011,-1.57020956991658,0.252048549761309,-6.22979013925521,4.67060406569843e-10,1.41533456536316e-08
"GENE_0225",173.208442588878,-1.10013918124509,0.179194274118446,-6.13936570605994,8.28516317118673e-10,2.43681269740786e-08
"GENE_0237",176.407683086854,1.27795567743971,0.213397789223459,5.9886078580763,2.11644764320734e-09,6.04699326630669e-08
"GENE_0034",165.107496121821,1.01312764557947,0.169376691693457,5.98150569272575,2.2108433015711e-09,6.14123139325306e-08
"GENE_0705",49.4780406714179,1.55867198204158,0.270891409091032,5.75386272776851,8.72269948277902e-09,2.35748634669703e-07
"GENE_0582",70.6754892733648,1.11021078133058,0.197977131140876,5.60777285200976,2.04946758283718e-08,5.39333574430837e-07
"GENE_0053",745.20586358564,-1.27313581891573,0.227696588226806,-5.59136976460786,2.25285239826749e-08,5.77654461094229e-07
"GENE_0188",127.448351392634,-1.14040120374593,0.213777829720895,-5.33451576917409,9.5799862732267e-08,2.39499656830667e-06
"GENE_0715",49.5810065799369,1.13839904612442,0.214273166750035,5.31283997614338,1.07929810962001e-07,2.63243441370733e-06
"GENE_0658",26.2540929072794,1.63113129973189,0.317314743869607,5.14042076910918,2.74123899080234e-07,6.23008861545986e-06
"GENE_0556",120.177081941078,1.01993919277105,0.200648072609308,5.08322447112176,3.71080722742118e-07,8.24623828315818e-06
"GENE_0039",135.868422492029,1.05176522924856,0.211463430741868,4.9737452265798,6.56716064426305e-07,1.42764361831805e-05
"GENE_0448",182.625284763647,1.13028122821319,0.230844577847124,4.89628666505528,9.76645660693288e-07,2.03467845977768e-05
"GENE_0677",63.8801156185611,1.25304568720132,0.260702600187598,4.80641806525768,1.53658413767211e-06,3.07316827534421e-05
